4to 05096820-a:0
butt_hinge 02928299-n:0
butt_joint 02928413-n:0
butterfly_fish 02605316-n:0
butterfly_orchid 12043836-n:0
butterfly_orchis 12043836-n:0
buttermilk 07847047-n:0
butternut_squash 07717556-n:0
button 02928608-n:8 07268413-n:0 02928841-n:0 01368126-v:0 01367862-v:0
button-down 00296935-a:0
button-shaped 02145918-a:0
button_hole 02928930-n:0
button_mangrove 12324906-n:0
button_tree 12324906-n:0
buttoned 00296625-a:1
buttonhole 02928930-n:0
buttonhole_stitch 02929059-n:0
buttonhook 02929184-n:0
buttonlike 00280245-a:0
buttony 00280245-a:0 00057390-a:0
buttress 02929289-n:0
buttressing 02929289-n:0
buzz_off 02010864-v:0
buzzer 02930080-n:0
by_and_large 00155621-r:2
by_chance 00040547-r:0
by_choice 00062330-r:0
by_design 00062330-r:1
bypass 05548203-n:0
byrnie 03499468-n:0
c_and_w 07060440-n:0
c_clef 06863209-n:0
ca-ca 00074038-v:0
cabal 08241798-n:0
cabin 02932400-n:3
cabin_car 02932523-n:0
cabinet 02933462-n:0
cabinet_wood 14787816-n:0
cabinetmaker 09885866-n:0
cabinetry 00607542-n:0
cabinetwork 00607542-n:0
caboose 02932523-n:0
cacalia 11942875-n:0
cackel 01056102-v:0
cackle 07378437-n:0
cactus 11842204-n:0
cadaster 06502192-n:0
cadastre 06502192-n:0
caesalpiniaceae 12487394-n:0
caftan 02936402-n:0
cage 02811059-n:0
calabash 02937614-n:0
calabash_pipe 02937614-n:0
calandrinia 11858406-n:0
calc-tufa 14931323-n:0
calcium_lactate 14789504-n:1
calculated 01337939-a:0
calculation 05796423-n:0
caliber 05103283-n:1
calibre 05103283-n:0
calico 00398978-a:0
california_fern 12935609-n:0
california_live_oak 12269406-n:0
caliper 02939866-n:0
call 01028748-v:91
call_box 03990210-n:0
call_down 01629958-v:0
call_for 02627934-v:21
call_forth 01629958-v:0
calliper 02939866-n:0
calliphora_vicina 02191979-n:0
callirhoe 12174742-n:0
calpac 02941228-n:0
calpack 02941228-n:0
calvary_cross 02941605-n:0
calves'_feet 07666303-n:0
calyx 11691523-n:0
camarilla 08241798-n:0
camera 02942699-n:18
camion 03690473-n:0
camlet 02944375-n:0
camo 02944579-n:0
camouflage 02944579-n:0
camp_meeting 08308156-n:0
campaign 00968155-n:4
campanile 02946127-n:0
camptosorus 13181616-n:0
camshaft 02946824-n:0
canal 02947212-n:0
canape 07581607-n:0
canard 06758135-n:0
canavalia_gladiata 12511488-n:0
cancellate 02006538-a:0 00327541-a:0
cancellated 02006538-a:0 00327541-a:0
cancellous 00327541-a:0
cancer_of_the_liver 14131651-n:0
candied_apple 07600696-n:0
candlemaker 09890894-n:0
candy_apple 07600696-n:0
candy_cane 07601572-n:0
candyfloss 07605040-n:0
canis_aureus 02115096-n:0
cannabis 02949691-n:0
cannon 02950256-n:11
cannular 02264807-a:0
canopy 02952109-n:0 02951843-n:0
canto 07031636-n:0
canvas 04127904-n:0
canvass 04127904-n:0
cap 02954938-n:2
cap_screw 02957135-n:0
caparison 01670315-v:0
cape 02955767-n:1
cape_marigold 11961446-n:0
cape_periwinkle 11772408-n:0
capital_of_azerbaijan 09018426-n:0
capitulation 00067707-n:0
cappuccino 07920349-n:0
cappuccino_coffee 07920349-n:0
capsicum_annuum_cerasiforme 12901565-n:0
capsicum_annuum_grossum 12901264-n:0
capsicum_annuum_longum 12900987-n:0
caption 06347588-n:0
caput 05538625-n:0
car 02958343-n:71
car_battery 02961225-n:0
car_bomb 02961544-n:0
car_horn 02761834-n:0
car_race 07458892-n:0
carabiner 02960690-n:0
carafe 02960903-n:0
caramel_apple 07600696-n:0
carbon 02961851-n:0
carbon_copy 02961851-n:0
carboy 02962061-n:0
carburetor 02962200-n:0
carburettor 02962200-n:0
carcinoid 14237148-n:0
card 02962545-n:5 14800034-n:0 03033986-n:0
cardiac_arrest 14024581-n:0
cardigan 02963159-n:0
cardiomyopathy 14110966-n:0
cardiopulmonary_arrest 14024581-n:0
cardiospasm 00226711-n:0
carillon 00544441-n:0
carillon_playing 00544441-n:0
carjack 01472417-v:0
carnation 11808468-n:0
carnation_family 11804604-n:0
carol 00546613-n:0
carolina_spring_beauty 11859275-n:0
carpenter's_plane 03954731-n:0
carpenter's_saw 03488188-n:0
carpenter_ant 02220804-n:0
carpenter_bee 02209354-n:0
carpentry 00607775-n:3
carpet 04118021-n:3
carpet_pad 02967626-n:0
carpet_slipper 04241394-n:0
carpeting 04118021-n:0
carpus 05584928-n:0
carriage_bolt 02969163-n:0
carriage_wrench 02969527-n:0
carriageway 02969323-n:0
carrier 02969886-n:0
carrot_juice 07925608-n:0
carry 02700867-v:4
cart 02970849-n:5
cartography 00924579-n:0
cartouch 02971473-n:0
cartouche 02971473-n:0
carved 00317008-a:2
carven 00317008-a:2
carver 10789963-n:0
carving 02973558-n:2 00942234-n:0
caryophyllaceae 11804604-n:0
cascabel 04236935-n:0
cascade_liquefier 02974454-n:0
case 09909060-n:0 02165982-v:1
case-fatality_proportion 13816071-n:0
casein 02975994-n:0
casein_paint 02975994-n:0
casement 02976350-n:0
cask 13766547-n:0 02795169-n:0
caskful 13766547-n:0
casque 02978205-n:0
cassia 12491826-n:0
cassock 02979516-n:0
cast 03779370-n:1 13913566-n:0 01632897-v:15
castanets 02869249-n:1
caster 02980036-n:0
castor 02980036-n:0
castration 00667847-n:0
cat 02121620-n:18 03608870-n:0
cat's-paw 02985828-n:0
cat's-tail 12155773-n:0
cat_sleep 00858377-n:0
cat_suit 03657511-n:0
catachresis 07102034-n:0
catalog 06487897-n:1 01626844-v:0
cataloged_procedure 06583178-n:0
catalogue 06487897-n:4 01626844-v:1
catamount 02127052-n:0
cataphatism 05942338-n:0
catasetum 12049796-n:0
catastrophe 14476290-n:1
catastrophic_illness 14066005-n:0
catch 07067760-n:0 02248299-v:2 02189168-v:1 02150948-v:1
catch_on 00590366-v:3
catechism 07194293-n:0
caterwaul 07378569-n:0
catha_edulis 11598287-n:0
catharanthus_roseus 11772408-n:0
catnap 00858377-n:0
cattle_plague 14272141-n:0
caul 05429658-n:0
causalgia 14325575-n:0
cause 01645601-v:110
cave 01283033-v:0
cavern 01282888-v:0
cavern_out 01282888-v:0
caviar 07799579-n:0
caviare 07799579-n:0
cavity 09393108-n:1 13911517-n:0
caw 07378682-n:0
cayenne 12900987-n:0
cayenne_jasmine 11772408-n:0
cayenne_pepper 12900987-n:0
cd 13365137-n:0
cd_burner 03079494-n:0
cedar 11623304-n:0
cedarwood 11623304-n:0
cedilla 06822958-n:0
celandine 12684379-n:0
celastraceae 12747563-n:0
celebes 08909107-n:0
celestial_longitude 08633191-n:0
celestial_orbit 08612049-n:0
cell_membrane 05312782-n:0
cellar 04108137-n:0
cellblock 02992032-n:0
center 08523483-n:56 03965456-n:0
center_punch 02994573-n:0 01443740-v:2
centered 00330644-a:2
centering 00120943-n:0
centerpiece 02994419-n:0
centesis 00943187-n:0
central_heating 02995151-n:1
centrarchid 02562315-n:0
centre 08523483-n:0
centrepiece 02994419-n:0
cephalexin 02996249-n:0
cephalitis 14342132-n:0
cercis_canadensis 12513933-n:0
cereus 11844651-n:0
certificate_of_deposit 13365137-n:0
cervical_cap 02998363-n:0
cervix 05546540-n:0
chad 14805676-n:0
chafing_gear 02999272-n:0
chain 02999410-n:2 02999757-n:0
chain-smoker 09905697-n:0
chalk 03003091-n:0
chalk_line 03003378-n:0
chalk_out 01697628-v:0
challis 03003633-n:0
chamber_orchestra 08248411-n:0
chamfer_plane 03004620-n:0
chamois_cress 11893916-n:0
change 04752034-n:0 00109660-v:54 00550117-v:7 00161225-v:5
channelise 01757021-v:0
channelize 01757021-v:0
chanter 03006626-n:0
chap 09241929-n:0
chapeau 03497657-n:0
chapter 06396142-n:38
chapterhouse 03007444-n:0
character 09909060-n:4
charade 06780309-n:0
charcoal 14685296-n:4
charge 01685960-v:0
charge_card 13376012-n:0
charge_plate 13376012-n:0
charmer 09910374-n:0
chart 00710803-v:5
chatter 07378952-n:0 07378781-n:0
chatter_mark 04692787-n:0
chattering 07378952-n:1 07378781-n:0
check 00662182-v:1 01114764-v:0 00920336-v:0 00336539-v:0
check_off 00662182-v:0
check_register 06506926-n:0
checkered_daffodil 12453186-n:0
checkmate 01114475-v:0
cheep 01052301-v:0
chelate 14619033-n:0
chelate_compound 14619033-n:0
cherry 12641796-n:0
cherry_apple 12634734-n:0
cherry_crab 12634734-n:0
cherry_pepper 12901565-n:0
cherub 09539730-n:0
chest 03014705-n:1
chestnut 12262905-n:0
cheval-de-frise 03015631-n:0
chevaux-de-frise 03015631-n:1
chevron 07269552-n:0
chewing_gum 07599998-n:0
chicago 00493308-n:0
chicane 00752954-n:0
chicanery 00752954-n:0
chicken_tetrazzini 07864475-n:0
chickpea 07726095-n:0
child_molester 10411867-n:0
childbed_fever 14190493-n:0
chilean_firebush 12216628-n:0
chilean_flameflower 12216628-n:0
chili_pepper 12900987-n:0
chilli_pepper 12900987-n:0
chimneystack 03018058-n:0
chin_rest 03019685-n:0
chin_strap 03019806-n:0
china_cabinet 03018349-n:0
china_clay 14670639-n:0
china_closet 03018349-n:0
china_pink 11808721-n:0
china_stone 14670639-n:0
chinese_forget-me-not 12818966-n:0
chink 00336539-v:0
chip 03020563-n:1
chippendale 02694583-a:0
chirk 01049140-v:0
chirp 07379409-n:0 01052301-v:1
chirr 01052671-v:0
chirrup 01052301-v:0
chitter 01053623-v:0
chlorophyte 01407798-n:0
chock 03023878-n:1
chocolate 07922764-n:1
chocolate_pudding 07618432-n:0
choke_hold 00417131-n:0
chokehold 00417131-n:0
cholesterin 15058544-n:0
cholesterol 15058544-n:4
chop 11527767-n:0 01758410-v:0
chop-chop 00085811-r:0
chopping_block 03025357-n:1
chord 00482180-v:0
choreograph 01708317-v:5
choropleth_map 03026093-n:0
christmas_berry 12905412-n:0
christmas_cactus 11853356-n:0
christmas_cake 07631511-n:0
christmas_flower 12920204-n:0
christmas_star 12920204-n:0
christmasberry 12905412-n:0
chromoplast 12962847-n:0
chronic_obstructive_pulmonary_disease 14146774-n:0
chronicle 01001136-v:1
chrysanthemum_frutescens 11925898-n:0
chuck 03027250-n:0
chuck_out 01468576-v:0
chug 07379852-n:0
chukka 03027625-n:0
chukka_boot 03027625-n:0
church_bell 03028596-n:3
churr 01052562-v:0
chute 03888257-n:1
chute-the-chute 04102406-n:0
cicatrice 14363483-n:0
cicatrix 14363483-n:0
cichorium_endivia 11953339-n:0
cider_mill 03029812-n:0
cigarette_paper 14812566-n:0
cine_projector 03795976-n:0
cinematography 00907919-n:0
circle 03033019-n:0
circuit 03033362-n:4
circuit_board 03033986-n:0
circuit_card 03033986-n:0
circular 07250339-n:0 02040652-a:6
circulation 07312221-n:0
circumflex 06823102-n:0
circumstantially 00040547-r:0
circus 03034860-n:0
cirrhus 13102946-n:0
cirriped 01998183-n:0
cirripede 01998183-n:0
cirrus 13102946-n:0 09245964-n:0
cirrus_cloud 09245964-n:0
cirsium_helenioides 11954798-n:0
cirsium_heterophylum 11954798-n:0
citation 06706125-n:2
citron 07750449-n:1
citronwood 12709591-n:0 11643506-n:0
citrus 12707781-n:0
citrus_tree 12707781-n:0
city_block 08642145-n:0
civil_service 08357258-n:2
cjd 14100494-n:0
clack 01054849-v:0
clambake 07576969-n:0
clap 01607590-v:2 01237599-v:0
clap_together 01623365-v:0
clap_up 01623365-v:0
clapper 03037228-n:0
clappers 02869249-n:0
clark 10899164-n:0
class_cryptophyceae 01421164-n:0
class_hydrozoa 01911511-n:0
class_hymenomycetes 12998130-n:0
class_reptilia 01660719-n:0
class_sporozoa 01421496-n:0
classified 07249585-n:0
classified_ad 07249585-n:0
classified_advertisement 07249585-n:0
classifier 09926862-n:1
clathrate 02006538-a:0
clay 14813182-n:11
claytonia 11859024-n:0
claytonia_caroliniana 11859275-n:0
clayware 03992703-n:0
clean_up 00275843-v:8
cleanup 06486405-n:0
cleanup_position 06486405-n:0
cleanup_spot 06486405-n:0
clear 01622505-a:6 00195617-v:5
cleat 03041114-n:0 03040983-n:0
cleave 01558681-v:0
clematis 11729478-n:0
clench 03042984-n:0
clerid 02170993-n:0
clerid_beetle 02170993-n:0
clevis 03042139-n:0
click 07118210-n:0 01242208-v:0 01054849-v:0
climb 01921964-v:36
climb_up 01921964-v:3
climber 03126385-n:0
climbing_iron 03126385-n:0
climbing_perch 02556373-n:0
clinch 03042984-n:0 03042829-n:0 01344748-v:0
clincher 03043173-n:0
cling_to 01220303-v:10
clip 01367616-v:0
clip-on 03044801-n:0
clitocybe 13020623-n:0
clitter 02172296-v:0
cloak 03045337-n:0
cloakmaker 09929861-n:0
cloche 03046133-n:0
clog 03047690-n:0
clone 01694984-v:0
close_up 01476483-v:0
closed 01653538-a:8
closed-heart_surgery 00675357-n:0
closed_session 07147116-n:0
clostridial_myonecrosis 14313943-n:0
closure 02853449-n:0
cloth 03309808-n:16
cloth_covering 03050026-n:0
clothe 00047945-v:4
clothes_hanger 03057920-n:0
clothes_peg 03051249-n:0
clothes_pin 03051249-n:0
clothespin 03051249-n:0
clothing 03051540-n:9
clout 03052917-n:0
clout_nail 03052917-n:0
clove_pink 11808468-n:0
club_drug 03054098-n:0
club_sandwich 07696839-n:0
clubfoot 14214584-n:1
cluck 07381100-n:2 01054849-v:3
clucking 07381100-n:0
clump 07396945-n:0
clunk 07396945-n:0
clunky 00174056-a:0
cluster_bomb 03054605-n:0
clutch 01220303-v:1
co-op 01100877-n:0
co-optation 00181191-n:8
co-option 00181191-n:0
co-ordinated 01486704-a:0
coachwhip 12381931-n:0
coast_live_oak 12269406-n:0
coat 03057021-n:29
coat_button 03057541-n:0
coat_hanger 03057920-n:0
cobalt_bloom 14674776-n:0
cobbler 07625831-n:0
cock 01247426-v:2
cockade 03060599-n:0
cocktail_sauce 07837110-n:0
cocktail_table 03063968-n:0
cocoa 07922764-n:0
cocoswood 11749273-n:0
cocuswood 11749273-n:0
cod 07789063-n:0
codariocalyx 12517820-n:0
code 01589723-v:1
codfish 07789063-n:0
codfish_ball 07865575-n:0
codfish_cake 07865575-n:0
coefficient_of_mutual_induction 13587236-n:0
coffee 07929351-n:0
coffee_bean 07929351-n:0
coffee_berry 07929351-n:0
coffee_cake 07630512-n:0
coffee_cappuccino 07920349-n:0
coffee_filter 03063199-n:0
coffee_stall 03063834-n:0
coffee_table 03063968-n:0
coffee_urn 03064250-n:0
coffeecake 07630512-n:0
coffin 01499948-v:0
cohabit 02651193-v:0
cohesion 13449714-n:0
coil 03066130-n:0
coin 13388245-n:7 01639105-v:0
coin_bank 04139859-n:0
coitus_interruptus 00849059-n:0
cold-cream 01364637-v:0
cold_work 01669070-v:0
coldwork 01669070-v:0
coleus_blumei 12845413-n:0
collapsible_shelter 04411264-n:0
collar 03068181-n:5
collective 00298293-a:0
collet 03329536-n:0
collimate 00525281-v:0
collimator 03070854-n:0
collins 07913882-n:0
colloquium 08327906-n:0
colophon 03071431-n:0
color 04677952-n:1
colostomy 00668552-n:0
colour 04677952-n:0
coma 05680193-n:1 13090395-n:0
comatose 00572202-a:0
comatoseness 05680193-n:0
combretum_erythrophyllum 12324558-n:0
combtooth_blenny 02613181-n:0
come_across 02136138-v:0
come_up 01627779-v:9
comedo 05245775-n:0
commemorative 09251689-n:0
commendation 06706125-n:0
commercialize 01164725-v:0
commissary 03076411-n:1
commission 02480803-v:0
commit 02582615-v:12
common 00485711-a:14 00970610-a:9
common_beet 11832214-n:0
common_canary 01533481-n:0
common_dandelion 12024445-n:0
common_morning_glory 12827068-n:0
common_pea 12560420-n:0
common_room 03077616-n:0
common_staghorn_fern 13177884-n:0
common_touch 04931567-n:0
common_wormwood 11929477-n:0
commonly 00106921-r:11
commonness 14501375-n:0
commotion 00553823-n:2
communicate 00742320-v:9
communication_trench 02730748-n:0
communique 06682794-n:1
commutation 00196485-n:0
commute 00161225-v:0
commuter_traffic 08425657-n:2
compact-disk_burner 03079494-n:0
company 08214272-n:28
complete 00455750-v:5
compliance 01166926-n:0
component 03081021-n:4
compose 01705494-v:5
composition 07037465-n:1
computer_circuit 03084420-n:0
computer_virus 06585816-n:0
concentration_camp 03086183-n:7
concert_pitch 04985580-n:0
concertina 03086670-n:0
concussion 07411490-n:1
conditional_sale 06528191-n:0
conductor 03088707-n:0
coneflower 12008252-n:0
coney 02569334-n:0
confect 01750813-v:0
confess 00819508-v:10
configuration 05064037-n:1
confine 00233335-v:5
confirmation 01038895-n:0
conformation 05064037-n:0
confront 01066433-v:7
congo_copal 14895498-n:0
congo_gum 14895498-n:0
conic_morel 13033577-n:0
conifer 13108841-n:0
coniferous_tree 13108841-n:0
conium_maculatum 12935609-n:0
conjecture 05891783-n:1
conjunction 07415167-n:0
conjure 01629958-v:0
conjure_up 01629958-v:5
conn's_syndrome 14305149-n:0
connatural 01034153-a:0
conocarpus_erectus 12324906-n:0
conscious 01337767-a:7
consecration 01040646-n:0
consolida_ambigua 11732567-n:0
consomme 07584110-n:0
constant_of_proportionality 13593634-n:0
constituent 03081021-n:7
constitute 02396205-v:1 02621395-v:0
constitutionalism 08361172-n:0
construct 01654628-v:28 01757721-v:0 01757546-v:0
construction 04341686-n:1
construction_paper 14820933-n:0
consultation 07143624-n:2
consumer_loan 13399782-n:0
contact 14419510-n:2 01205696-v:0
contact_print 03094347-n:0
contain 02700867-v:34
container 03094503-n:5
containment 05986948-n:0
contamination 00276987-n:0
contempt 06715927-n:0
continental_breakfast 07574780-n:0
continental_quilt 03266749-n:0
continuity 07010393-n:0
contour 05064037-n:2
contour_sheet 03353467-n:0
contract_under_seal 06524278-n:0
contracture 00369399-n:0
contrarian 09612700-n:0
contrary_to_fact 00555709-a:0
contrive 01638368-v:1 01632897-v:0
control 01224744-v:7 01803936-v:1
control_grid 03458552-n:0
control_surface 02688443-n:0
convallaria_majalis 12471544-n:0
convector 03099147-n:0
conventionalised 01572604-a:0
conventionalized 01572604-a:0
convert 00161225-v:3
convertible 13419325-n:0
convertible_security 13419325-n:0
coo 07381329-n:0
cook_up 01634424-v:0
cookie 06387538-n:0
cookstove 03102371-n:0
cooper 09963773-n:0 01659144-v:0
cooperative 01100877-n:3
coordinated 01486704-a:0
cope 03503097-n:0
copepod 01996585-n:0
copepod_crustacean 01996585-n:0
copier 03257586-n:0
coping 03503097-n:1
coping_saw 03104019-n:0
copper 14635722-n:4
copper_sulfate 14822839-n:0
copper_sulphate 14822839-n:0
copy 01734929-v:0 01693881-v:0
copyist 09964805-n:0
corbel 03105467-n:0
cord 03106722-n:0
cordial 07907943-n:0
corduroy 03106722-n:1 01750895-v:0
core_drill 03108624-n:0
core_out 01282545-v:0
coreopsis 11956850-n:0
cork 14823227-n:1 03108853-n:0 02860063-n:0
corker 03109033-n:0
corkwood_family 11742531-n:0
cornerstone 03110470-n:0
cornflower_aster 12020184-n:0
coronet 03111564-n:0
corps 08212527-n:4
corrida 02917163-n:0
corridor 03112099-n:9
corrugated_fastener 03112240-n:0
corrugated_iron 03112431-n:1
corsage 02879087-n:1
corselet 03112719-n:0
corslet 03112719-n:0
cortinarius_armillatus 13074619-n:0
cortisone 14752952-n:0
cortone_acetate 14752952-n:0
coryza 14355060-n:0
cosh 01401552-v:0
costume 03114236-n:0
cottar 03114839-n:0
cotter 03114839-n:0
cotter_pin 03115014-n:1
cotton_candy 07605040-n:0
cotton_on 00590366-v:0
couch_potato 09944529-n:0
count 02731632-v:2
counter 03117420-n:0
counter-drill 01443631-v:1
counterbore 03117642-n:0
counterfactual 00555709-a:0
counterfeit 01654271-v:0
counterfeiter 10105085-n:0
counterplot 00707490-v:0
countersink 03118051-n:0 03117642-n:0 01530273-v:0
countersink_bit 03117642-n:0
country 08497294-n:3
country_and_western 07060440-n:0
country_doctor 09970493-n:1
country_house 03118969-n:0
country_music 07060440-n:0
country_store 03119203-n:1
coup_de_grace 00219463-n:0
coupler 03119510-n:0
couplet 06378917-n:0
coupling 03119510-n:0
coursework 00885088-n:0
coursing 00453126-n:0
courting 07188685-n:0
courtship 07188685-n:0
coven 08398467-n:0
cover 02849154-n:8 04453910-n:1 01049992-n:0 01332730-v:35 01207951-v:19 01336635-v:0
covering 03122748-n:0
coverlet 03123553-n:1
cow's_head 13034062-n:0
cowlick 05256702-n:0
cowrie 01953361-n:0
cowry 01953361-n:0
cox-2 14738295-n:0
coyote 09973903-n:0
crab_apple 12634429-n:0 12634211-n:0
crab_cactus 11854479-n:0
crabapple 12634429-n:0 12634211-n:0
crack 03416329-n:2 00787061-n:0 01401955-v:2
cracker 03125352-n:0
cracker_bonbon 03125352-n:0
craft 01658762-v:0
craft_fair 01118495-n:0
cram 01612295-v:0
cramp 03126251-n:0
crampon 03126385-n:0
crampoon 03126385-n:0
crank_letter 06624967-n:0
crap 00074038-v:0
crape_myrtle 12329260-n:0
crash 07301950-n:4 02657080-v:0
crash_course 06676709-n:0
crash_landing 00305519-n:0
crash_program 06676709-n:0
crash_programme 06676709-n:0
crate 03127925-n:1 01486678-v:0
crawdad 07788885-n:0
crawfish 07788885-n:0
crayfish 07793260-n:0 07788885-n:0
cream 01364483-v:0
create 01617192-v:94 01640207-v:0 01621555-v:0
create_by_mental_act 01631534-v:0
create_from_raw_material 01653013-v:0
create_from_raw_stuff 01653013-v:0
create_mentally 01631534-v:0
create_verbally 01697816-v:0
creating_by_removal 00941777-n:0
creating_from_raw_materials 00908909-n:0
creation 00908492-n:5
creative_activity 00908492-n:0
creative_thinking 05624700-n:0
creativeness 05624700-n:1
creativity 05624700-n:2
creator 09614315-n:1
creature 00015388-n:16 09976429-n:2
credit_card 13376012-n:0
credit_side 13406374-n:0
credits 06489968-n:0
crepe 14826173-n:0
crepe_flower 12329260-n:0
crepe_myrtle 12329260-n:0
crepe_paper 14826173-n:0
crest 08617963-n:3
crested 00057992-a:0
creutzfeldt-jakob_disease 14100494-n:0
crewman 10546633-n:0
crib 00491901-n:0
cribbage 00491901-n:0
cribbage_board 03131791-n:0
cricket 02229544-n:1
crime 00766234-n:18
criminal_offence 00766234-n:0
criminal_offense 00766234-n:0
crimp 01457206-v:0
cringle 03132438-n:0
criollo 09978697-n:0
cripple 09978889-n:1
croaker 02596381-n:0
crochet 01672490-v:0
crochet_stitch 03133177-n:0
crocheting 00909565-n:0
cross-index 02472958-v:0
cross-section 01446240-a:1
cross-sectional 01446240-a:0
cross_of_calvary 02941605-n:0
cross_section 08548065-n:3
cross_street 03137973-n:0
